minimum m,c is 1.220000, 27.620000 with error 9.861389,,874566727
TIme elasped: 874566727nsec or 0.874566727sec,,,,
minimum m,c is 1.220000, 27.620000 with error 9.861389,,988571107
TIme elasped: 988571107nsec or 0.988571107sec,,,,
minimum m,c is 1.220000, 27.620000 with error 9.861389,,
TIme elasped: 981866522nsec or 0.981866522sec,,,,981866522
minimum m,c is 1.220000, 27.620000 with error 9.861389,,
TIme elasped: 1016706516nsec or 1.016706516sec,,,,1016706516
minimum m,c is 1.220000, 27.620000 with error 9.861389,,
TIme elasped: 1244641780nsec or 1.244641780sec,,,,1244641780
minimum m,c is 1.220000, 27.620000 with error 9.861389,,
TIme elasped: 981956195nsec or 0.981956195sec,,,,981956195
minimum m,c is 1.220000, 27.620000 with error 9.861389,,
TIme elasped: 1168896646nsec or 1.168896646sec,,,,1168896646
minimum m,c is 1.220000, 27.620000 with error 9.861389,,
TIme elasped: 869032967nsec or 0.869032967sec,,,,869032967
minimum m,c is 1.220000, 27.620000 with error 9.861389,,
TIme elasped: 1217980275nsec or 1.217980275sec,,,,1217980275
minimum m,c is 1.220000, 27.620000 with error 9.861389,,
TIme elasped: 1623067218nsec or 1.623067218sec,,,,1623067218
,,,,
mean time ,,,,1096728595.3
