p,s
0.00,27.62
1.00,28.84
2.00,30.06
3.00,31.28
4.00,32.50
5.00,33.72
6.00,34.94
7.00,36.16
8.00,37.38
9.00,38.60
10.00,39.82
11.00,41.04
12.00,42.26
13.00,43.48
14.00,44.70
15.00,45.92
16.00,47.14
17.00,48.36
18.00,49.58
19.00,50.80
20.00,52.02
21.00,53.24
22.00,54.46
23.00,55.68
24.00,56.90
25.00,58.12
26.00,59.34
27.00,60.56
28.00,61.78
29.00,63.00
30.00,64.22
31.00,65.44
32.00,66.66
33.00,67.88
34.00,69.10
35.00,70.32
36.00,71.54
37.00,72.76
38.00,73.98
39.00,75.20
40.00,76.42
41.00,77.64
42.00,78.86
43.00,80.08
44.00,81.30
45.00,82.52
46.00,83.74
47.00,84.96
48.00,86.18
49.00,87.40
50.00,88.62
51.00,89.84
52.00,91.06
53.00,92.28
54.00,93.50
55.00,94.72
56.00,95.94
57.00,97.16
58.00,98.38
59.00,99.60
60.00,100.82
61.00,102.04
62.00,103.26
63.00,104.48
64.00,105.70
65.00,106.92
66.00,108.14
67.00,109.36
68.00,110.58
69.00,111.80
70.00,113.02
71.00,114.24
72.00,115.46
73.00,116.68
74.00,117.90
75.00,119.12
76.00,120.34
77.00,121.56
78.00,122.78
79.00,124.00
80.00,125.22
81.00,126.44
82.00,127.66
83.00,128.88
84.00,130.10
85.00,131.32
86.00,132.54
87.00,133.76
88.00,134.98
89.00,136.20
90.00,137.42
91.00,138.64
92.00,139.86
93.00,141.08
94.00,142.30
95.00,143.52
96.00,144.74
97.00,145.96
98.00,147.18
99.00,148.40
