p,s
0.00,20.00
1.00,20.50
2.00,21.00
3.00,21.50
4.00,22.00
5.00,22.50
6.00,23.00
7.00,23.50
8.00,24.00
9.00,24.50
10.00,25.00
11.00,25.50
12.00,26.00
13.00,26.50
14.00,27.00
15.00,27.50
16.00,28.00
17.00,28.50
18.00,29.00
19.00,29.50
20.00,30.00
21.00,30.50
22.00,31.00
23.00,31.50
24.00,32.00
25.00,32.50
26.00,33.00
27.00,33.50
28.00,34.00
29.00,34.50
30.00,35.00
31.00,35.50
32.00,36.00
33.00,36.50
34.00,37.00
35.00,37.50
36.00,38.00
37.00,38.50
38.00,39.00
39.00,39.50
40.00,40.00
41.00,40.50
42.00,41.00
43.00,41.50
44.00,42.00
45.00,42.50
46.00,43.00
47.00,43.50
48.00,44.00
49.00,44.50
50.00,45.00
51.00,45.50
52.00,46.00
53.00,46.50
54.00,47.00
55.00,47.50
56.00,48.00
57.00,48.50
58.00,49.00
59.00,49.50
60.00,50.00
61.00,50.50
62.00,51.00
63.00,51.50
64.00,52.00
65.00,52.50
66.00,53.00
67.00,53.50
68.00,54.00
69.00,54.50
70.00,55.00
71.00,55.50
72.00,56.00
73.00,56.50
74.00,57.00
75.00,57.50
76.00,58.00
77.00,58.50
78.00,59.00
79.00,59.50
80.00,60.00
81.00,60.50
82.00,61.00
83.00,61.50
84.00,62.00
85.00,62.50
86.00,63.00
87.00,63.50
88.00,64.00
89.00,64.50
90.00,65.00
91.00,65.50
92.00,66.00
93.00,66.50
94.00,67.00
95.00,67.50
96.00,68.00
97.00,68.50
98.00,69.00
99.00,69.50
