p,s
0.00,36.00
1.00,40.00
2.00,44.00
3.00,48.00
4.00,52.00
5.00,56.00
6.00,60.00
7.00,64.00
8.00,68.00
9.00,72.00
10.00,76.00
11.00,80.00
12.00,84.00
13.00,88.00
14.00,92.00
15.00,96.00
16.00,100.00
17.00,104.00
18.00,108.00
19.00,112.00
20.00,116.00
21.00,120.00
22.00,124.00
23.00,128.00
24.00,132.00
25.00,136.00
26.00,140.00
27.00,144.00
28.00,148.00
29.00,152.00
30.00,156.00
31.00,160.00
32.00,164.00
33.00,168.00
34.00,172.00
35.00,176.00
36.00,180.00
37.00,184.00
38.00,188.00
39.00,192.00
40.00,196.00
41.00,200.00
42.00,204.00
43.00,208.00
44.00,212.00
45.00,216.00
46.00,220.00
47.00,224.00
48.00,228.00
49.00,232.00
50.00,236.00
51.00,240.00
52.00,244.00
53.00,248.00
54.00,252.00
55.00,256.00
56.00,260.00
57.00,264.00
58.00,268.00
59.00,272.00
60.00,276.00
61.00,280.00
62.00,284.00
63.00,288.00
64.00,292.00
65.00,296.00
66.00,300.00
67.00,304.00
68.00,308.00
69.00,312.00
70.00,316.00
71.00,320.00
72.00,324.00
73.00,328.00
74.00,332.00
75.00,336.00
76.00,340.00
77.00,344.00
78.00,348.00
79.00,352.00
80.00,356.00
81.00,360.00
82.00,364.00
83.00,368.00
84.00,372.00
85.00,376.00
86.00,380.00
87.00,384.00
88.00,388.00
89.00,392.00
90.00,396.00
91.00,400.00
92.00,404.00
93.00,408.00
94.00,412.00
95.00,416.00
96.00,420.00
97.00,424.00
98.00,428.00
99.00,432.00
